bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_lt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
BP716000000011;"CD71 ; PBO - PT 601480USZ";71153/USZ/PT 601480;PT716000000198;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000004;"CD71 ; PBO - PT 601481USZ";71153/USZ/PT 601481;PT716000000123;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000005;"CD71 ; PBO - PT 601482USZ";71153/USZ/PT 601482;PT716000000213;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000016;"CD71 ; PBO - PT 601483USZ";71153/USZ/PT 601483;PT716000000193;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000017;"CD71 ; PBO - PT 601484USZ";71153/USZ/PT 601484;PT716000000194;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000095;"CD71 ; PBO - PT 601485USZ";71153/USZ/PT 601485;PT716000000007;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000096;"CD71 ; PBO - PT 601486USZ";71153/USZ/PT 601486;PT716000000006;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000097;"CD71 ; PBO - PT 601487USZ";71153/USZ/PT 601487;PT716000000024;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000001;"CD71 ; PBO - PT 601488USZ";71153/USZ/PT 601488;PT716000000031;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000002;"CD71 ; PBO - PT 601489USZ";71153/USZ/PT 601489;PT716000000122;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000003;"CD71 ; PBO - PT 601490USZ";71153/USZ/PT 601490;PT716000000201;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000020;"CD71 ; PBO R - PT 601491USZ";71153/USZ/PT 601491;PT716000000099;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
