cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS716000000197;12;BP716000000101;21;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000198;12;BP716000000101;22;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000199;12;BP716000000101;23;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000200;12;BP716000000101;24;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000201;12;BP716000000102;1;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
CS716000000202;12;BP716000000102;2;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
CS716000000203;12;BP716000000102;3;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
CS716000000204;12;BP716000000102;4;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
CS716000000205;12;BP716000000102;5;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
CS716000000206;12;BP716000000102;6;;;RF000000000191;71153/USZ/PT 601515;29/08/2022 00:00;;;;
